累计确诊,累计治愈,累计死亡,疑似,时间,地点
28,0,0,0,2020/01/24,四川
4,0,0,0,2020/01/24,贵州
5,0,0,0,2020/01/24,云南
15,0,0,0,2020/01/24,陕西
4,0,0,0,2020/01/24,甘肃
0,0,0,1,2020/01/24,青海
3,0,0,1,2020/01/24,宁夏
3,0,0,0,2020/01/24,新疆
3,0,0,0,2020/01/24,台湾
5,0,0,0,2020/01/24,香港
2,0,0,0,2020/01/24,澳门
41,0,0,0,2020/01/25,北京
10,0,0,0,2020/01/25,天津
13,0,1,0,2020/01/25,河北
9,0,0,0,2020/01/25,山西
7,0,0,0,2020/01/25,内蒙古
16,0,0,0,2020/01/25,辽宁
4,0,0,0,2020/01/25,吉林
15,0,1,17,2020/01/25,黑龙江
40,1,1,95,2020/01/25,上海
31,1,0,0,2020/01/25,江苏
104,1,0,0,2020/01/25,浙江
60,0,0,0,2020/01/25,安徽
18,0,0,20,2020/01/25,福建
36,0,0,0,2020/01/25,江西
39,0,0,11,2020/01/25,山东
83,0,1,3,2020/01/25,河南
1052,42,52,0,2020/01/25,湖北
69,0,0,0,2020/01/25,湖南
98,2,0,0,2020/01/25,广东
33,0,0,0,2020/01/25,广西
22,0,0,0,2020/01/25,海南
75,0,0,0,2020/01/25,重庆
44,0,0,0,2020/01/25,四川
5,0,0,0,2020/01/25,贵州
11,0,0,0,2020/01/25,云南
22,0,0,0,2020/01/25,陕西
7,0,0,0,2020/01/25,甘肃
1,0,0,0,2020/01/25,青海
4,0,0,1,2020/01/25,宁夏
4,0,0,0,2020/01/25,新疆
3,0,0,0,2020/01/25,台湾
5,0,0,0,2020/01/25,香港
2,0,0,0,2020/01/25,澳门
68,0,0,0,2020/01/26,北京
14,0,0,0,2020/01/26,天津
18,0,1,16,2020/01/26,河北
13,0,0,0,2020/01/26,山西
11,0,0,1,2020/01/26,内蒙古
22,0,0,0,2020/01/26,辽宁
6,0,0,0,2020/01/26,吉林
21,0,1,48,2020/01/26,黑龙江
53,1,1,90,2020/01/26,上海
47,1,0,0,2020/01/26,江苏
128,1,0,0,2020/01/26,浙江
70,0,0,0,2020/01/26,安徽
35,0,0,39,2020/01/26,福建
48,0,0,0,2020/01/26,江西
63,0,0,33,2020/01/26,山东
128,0,1,18,2020/01/26,河南
1423,44,76,0,2020/01/26,湖北
100,0,0,0,2020/01/26,湖南
146,2,0,0,2020/01/26,广东
46,0,0,0,2020/01/26,广西
31,0,1,0,2020/01/26,海南
110,0,0,0,2020/01/26,重庆
69,0,0,0,2020/01/26,四川
7,0,0,3,2020/01/26,贵州
19,0,0,36,2020/01/26,云南
35,0,0,0,2020/01/26,陕西
14,0,0,0,2020/01/26,甘肃
4,0,0,0,2020/01/26,青海
7,0,0,0,2020/01/26,宁夏
5,0,0,0,2020/01/26,新疆
4,0,0,0,2020/01/26,台湾
8,0,0,0,2020/01/26,香港
5,0,0,0,2020/01/26,澳门
80,2,1,0,2020/01/27,北京
23,0,0,0,2020/01/27,天津
33,0,1,54,2020/01/27,河北
20,0,0,0,2020/01/27,山西
13,0,0,2,2020/01/27,内蒙古
27,0,0,0,2020/01/27,辽宁
8,0,0,0,2020/01/27,吉林
30,0,1,67,2020/01/27,黑龙江
66,3,1,129,2020/01/27,上海
70,1,0,0,2020/01/27,江苏
173,1,0,0,2020/01/27,浙江
106,0,0,38,2020/01/27,安徽
59,0,0,46,2020/01/27,福建
72,0,0,0,2020/01/27,江西
63,0,0,42,2020/01/27,山东
168,0,1,100,2020/01/27,河南
2714,47,100,0,2020/01/27,湖北
143,0,0,0,2020/01/27,湖南
188,4,0,0,2020/01/27,广东
51,0,0,0,2020/01/27,广西
40,0,1,0,2020/01/27,海南
132,0,0,0,2020/01/27,重庆
90,0,0,0,2020/01/27,四川
9,0,0,1,2020/01/27,贵州
44,0,0,125,2020/01/27,云南
46,0,0,0,2020/01/27,陕西
19,0,0,0,2020/01/27,甘肃
6,0,0,0,2020/01/27,青海
11,0,0,0,2020/01/27,宁夏
10,0,0,0,2020/01/27,新疆
5,0,0,0,2020/01/27,台湾
8,0,0,0,2020/01/27,香港
7,0,0,0,2020/01/27,澳门
91,4,1,0,2020/01/28,北京
24,0,0,0,2020/01/28,天津
48,0,1,56,2020/01/28,河北
27,0,0,0,2020/01/28,山西
16,0,0,2,2020/01/28,内蒙古
34,0,0,0,2020/01/28,辽宁
