累计确诊,累计治愈,累计死亡,疑似,时间,地点
50006,46461,2563,0,2020/04/03,湖北,武汉市
50007,46611,2567,0,2020/04/04,湖北,武汉市
50007,46794,2570,0,2020/04/05,湖北,武汉市
50007,46863,2571,0,2020/04/06,湖北,武汉市
50007,46922,2571,0,2020/04/07,湖北,武汉市
50007,46992,2572,0,2020/04/08,湖北,武汉市
50007,47037,2574,0,2020/04/09,湖北,武汉市
50007,47085,2575,0,2020/04/10,湖北,武汉市
50007,47112,2577,0,2020/04/11,湖北,武汉市
50007,47129,2577,0,2020/04/12,湖北,武汉市
